Product Type: Litetrack Iridium-150
Product ID: 91038
Firmware Version: V8.92.0

GMT Time,X,Y,Temperature [C]
23.05.2019 05:15:00,0,0,19.5
23.05.2019 05:20:00,0,0,19.5
23.05.2019 05:25:00,0,0,19.0
23.05.2019 05:30:00,0,0,19.0
23.05.2019 05:35:00,4,3,18.5
23.05.2019 05:40:00,2,1,17.0
23.05.2019 05:45:00,2,2,15.5
23.05.2019 05:50:00,0,0,15.0
23.05.2019 05:55:00,0,0,17.5
23.05.2019 06:00:00,0,0,20.5
23.05.2019 06:05:00,0,0,22.5
23.05.2019 06:10:00,0,0,24.0
23.05.2019 06:15:00,0,0,24.5
23.05.2019 06:20:00,0,1,23.5
23.05.2019 06:25:00,3,2,21.5
23.05.2019 06:30:00,0,0,21.5
23.05.2019 06:35:00,0,0,23.0
23.05.2019 06:40:00,0,0,23.0
23.05.2019 06:45:00,1,1,22.0
23.05.2019 06:50:00,0,0,20.5
23.05.2019 06:55:00,0,0,20.0
23.05.2019 07:00:00,0,0,19.5
23.05.2019 07:05:00,4,3,18.5
23.05.2019 07:10:00,3,2,17.0
23.05.2019 07:15:00,3,2,16.5
23.05.2019 07:20:00,3,2,15.5
23.05.2019 07:25:00,2,1,15.5
23.05.2019 07:30:00,3,2,15.0
23.05.2019 07:35:00,2,1,15.5
23.05.2019 07:40:00,4,1,14.5
23.05.2019 07:45:00,3,1,14.0
23.05.2019 07:50:00,4,2,14.0
23.05.2019 07:55:00,4,2,14.0
23.05.2019 08:00:00,3,1,14.0
23.05.2019 08:05:00,0,0,15.0
23.05.2019 08:10:00,0,0,17.5
23.05.2019 08:15:00,0,0,19.0
23.05.2019 08:20:00,0,0,20.5
23.05.2019 08:25:00,0,0,21.5
23.05.2019 08:30:00,0,0,22.0
23.05.2019 08:35:00,0,0,23.5
23.05.2019 08:40:00,0,0,25.5
23.05.2019 08:45:00,1,1,26.0
23.05.2019 08:50:00,0,0,27.0
23.05.2019 08:55:00,0,0,27.5
23.05.2019 09:00:00,0,0,27.5
23.05.2019 09:05:00,0,0,26.5
23.05.2019 09:10:00,0,0,29.0
23.05.2019 09:15:00,0,0,30.0
23.05.2019 09:20:00,0,0,29.0
23.05.2019 09:25:00,0,0,27.5
23.05.2019 09:30:00,0,0,27.5
23.05.2019 09:35:00,0,0,27.0
23.05.2019 09:40:00,0,0,26.0
23.05.2019 09:45:00,0,0,25.5
23.05.2019 09:50:00,0,0,25.5
23.05.2019 09:55:00,0,0,25.5
23.05.2019 10:00:00,0,0,26.0
23.05.2019 10:05:00,0,0,25.5
23.05.2019 10:10:00,0,0,25.0
23.05.2019 10:15:00,0,0,25.5
23.05.2019 10:20:00,0,0,26.0
23.05.2019 10:25:00,0,0,27.5
23.05.2019 10:30:00,0,0,28.5
23.05.2019 10:35:00,0,0,28.5
23.05.2019 10:40:00,0,0,27.5
23.05.2019 10:45:00,0,0,26.5
23.05.2019 10:50:00,0,0,25.5
23.05.2019 10:55:00,0,0,25.5
23.05.2019 11:00:00,0,0,26.0
23.05.2019 11:05:00,0,0,26.5
23.05.2019 11:10:00,0,0,26.5
23.05.2019 11:15:00,0,0,26.5
23.05.2019 11:20:00,0,0,26.5
23.05.2019 11:25:00,3,2,26.0
23.05.2019 11:30:00,4,2,26.0
23.05.2019 11:35:00,2,0,24.5
23.05.2019 11:40:00,2,1,25.0
23.05.2019 11:45:00,0,0,25.5
23.05.2019 11:50:00,0,0,27.0
23.05.2019 11:55:00,0,0,27.5
23.05.2019 12:00:00,0,0,28.0
23.05.2019 12:05:00,0,0,28.5
23.05.2019 12:10:00,0,0,29.0
23.05.2019 12:15:00,0,0,29.0
23.05.2019 12:20:00,0,0,29.5
23.05.2019 12:25:00,0,0,30.0
23.05.2019 12:30:00,0,0,30.5
23.05.2019 12:35:00,0,0,30.0
23.05.2019 12:40:00,0,0,29.5
23.05.2019 12:45:00,0,0,28.5
23.05.2019 12:50:00,0,0,28.0
23.05.2019 12:55:00,0,0,28.0
23.05.2019 13:00:00,0,0,27.0
23.05.2019 13:05:00,0,0,26.0
23.05.2019 13:10:00,0,0,25.5
23.05.2019 13:15:00,0,0,25.5
23.05.2019 13:20:00,0,0,25.0
23.05.2019 13:25:00,0,0,25.0
23.05.2019 13:30:00,0,0,25.0
23.05.2019 13:35:00,0,0,25.0
23.05.2019 13:40:00,1,1,24.5
23.05.2019 13:45:00,2,2,25.5
23.05.2019 13:50:00,0,0,26.0
23.05.2019 13:55:00,0,0,26.5
23.05.2019 14:00:00,0,0,26.0
23.05.2019 14:05:00,0,0,26.0
23.05.2019 14:10:00,0,0,26.5
23.05.2019 14:15:00,0,0,27.0
23.05.2019 14:20:00,0,0,28.5
23.05.2019 14:25:00,0,0,29.0
23.05.2019 14:30:00,0,0,29.0
