Product Type: Litetrack Iridium-150
Product ID: 91037
Firmware Version: V8.92.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites
03.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,8.5,0,0
03.05.2019 12:00:33,46.6852845,10.1439036,1800.32,29,32.0,2,5
03.05.2019 16:01:10,0.0000000,0.0000000,0.00,70,19.0,0,0
03.05.2019 20:00:51,46.6839349,10.1426877,1720.54,51,16.5,4.2,5
03.05.2019 22:00:35,46.6837128,10.1426877,1694.35,35,22.5,2.8,6
04.05.2019 00:00:33,46.6838847,10.1428181,1740.92,34,21.5,1.8,6
04.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,19.5,0,0
04.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,9.0,0,0
04.05.2019 12:01:08,46.6810288,10.1479823,1370.99,70,30.0,2.6,5
04.05.2019 16:01:08,46.6877244,10.1657668,-0.21,70,24.0,7,3
04.05.2019 20:00:34,46.6814755,10.1433075,1722.76,35,16.5,2.4,6
04.05.2019 22:01:10,0.0000000,0.0000000,0.00,70,6.5,0,0
05.05.2019 00:01:05,46.6912247,10.1232564,1566.56,65,3.0,1.6,5
05.05.2019 04:00:51,46.6940405,10.1218556,1562.78,52,19.0,2,5
05.05.2019 08:00:35,46.6937059,10.1217877,1640.44,36,7.5,1.4,6
05.05.2019 12:01:04,46.6936023,10.1221024,1638.93,65,11.0,1.6,6
05.05.2019 16:01:10,0.0000000,0.0000000,0.00,70,6.0,0,0
05.05.2019 20:00:34,46.6937190,10.1217325,1634.95,35,22.0,1.2,8
05.05.2019 22:00:06,46.6936286,10.1219131,1685.65,7,26.0,2.8,5
06.05.2019 00:01:03,46.6928169,10.1212744,1574.21,64,7.0,1.8,5
06.05.2019 04:01:08,46.6933695,10.1235072,1513.55,70,17.5,5,4
06.05.2019 08:00:34,46.6922176,10.1223640,1627.40,35,25.0,2.2,5
06.05.2019 12:00:35,46.6921561,10.1227977,1622.86,36,22.0,1.6,7
06.05.2019 16:00:39,46.6921633,10.1216825,1582.25,40,24.5,2,5
06.05.2019 20:00:33,46.6927857,10.1214316,1588.47,35,20.5,2,7
06.05.2019 22:01:10,46.6920181,10.1216770,1576.85,70,5.5,2.8,5
07.05.2019 00:01:10,46.6924961,10.1252659,1008.67,70,1.0,2.6,4
07.05.2019 04:01:07,46.6057196,10.1040188,-0.11,70,14.0,47.6,3
07.05.2019 08:01:06,46.6921824,10.1210878,1391.98,70,21.0,2.4,4
07.05.2019 12:01:06,46.6922136,10.1217514,1586.59,70,27.0,2.6,4
07.05.2019 16:00:33,46.6918105,10.1227137,1584.86,35,23.0,1.8,5
07.05.2019 20:00:34,46.6942379,10.1152531,1638.28,36,7.5,2,5
07.05.2019 22:00:53,46.6992117,10.1058662,1610.37,54,5.0,3.6,5
08.05.2019 00:01:07,46.7344532,10.1206210,0.02,70,5.0,7.8,3
08.05.2019 04:01:06,46.7553637,10.1353191,0.18,70,7.5,6,3
08.05.2019 08:00:33,46.7653023,10.1342444,1571.97,35,20.5,1,7
08.05.2019 12:00:51,46.7652073,10.1342195,1592.88,53,19.5,2,5
08.05.2019 16:01:10,46.7656393,10.1336389,1251.25,70,24.5,2.2,4
08.05.2019 20:00:33,46.7668530,10.1314641,1490.84,35,9.0,1.6,6
