Product Type: Litetrack Iridium-150
Product ID: 91038
Firmware Version: V8.92.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites
23.05.2019 08:01:05,46.6661798,10.2081763,1908.36,70,15.0,4.2,4
23.05.2019 12:01:10,46.6658754,10.2102415,1916.93,70,29.0,4.2,4
23.05.2019 16:01:06,46.6658342,10.2097555,1917.12,70,26.5,2.2,5
23.05.2019 20:01:10,0.0000000,0.0000000,0.00,70,33.0,0,0
23.05.2019 22:00:51,46.6411262,10.1854956,1921.09,48,8.0,2,6
24.05.2019 00:00:33,46.6410528,10.1854936,1930.17,33,23.5,3,4
24.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,23.0,0,0
24.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,16.5,0,0
24.05.2019 12:01:08,46.6293443,10.1955371,0.10,70,21.5,4.4,3
24.05.2019 16:01:10,0.0000000,0.0000000,0.00,70,26.0,0,0
24.05.2019 20:00:34,46.6327525,10.2024427,2.62,70,26.0,3.8,4
24.05.2019 22:01:10,46.6411367,10.1858026,1847.09,70,24.0,2.2,5
25.05.2019 00:01:08,46.6604496,10.1973689,1811.14,70,7.5,2.8,4
25.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,6.5,0,0
25.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,27.5,0,0
25.05.2019 12:00:59,46.6414224,10.1921679,2104.55,59,17.0,1.8,5
25.05.2019 16:01:10,0.0000000,0.0000000,0.00,70,28.0,0,0
25.05.2019 20:01:10,0.0000000,0.0000000,0.00,70,27.5,0,0
25.05.2019 22:00:35,46.6634982,10.2107331,1858.37,35,6.5,1.6,6
26.05.2019 00:00:35,46.6632465,10.2109812,1855.90,35,7.0,1.2,6
26.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,7.5,0,0
26.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,28.0,0,0
26.05.2019 12:01:10,0.0000000,0.0000000,0.00,70,22.5,0,0
26.05.2019 16:01:05,46.5361935,10.1415372,0.07,70,30.0,42,3
26.05.2019 20:01:01,46.6324408,10.1983680,-0.42,70,29.0,3.8,3
26.05.2019 22:01:10,0.0000000,0.0000000,0.00,70,6.5,0,0
27.05.2019 00:00:35,46.6587113,10.1966454,1865.67,35,11.0,2.2,5
27.05.2019 04:01:05,46.6583347,10.1970478,1851.57,66,7.0,1.4,5
27.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,21.0,0,0
27.05.2019 12:01:10,0.0000000,0.0000000,0.00,70,26.0,0,0
27.05.2019 16:01:10,0.0000000,0.0000000,0.00,70,18.0,0,0
