X,time,X_acceleration,Y_acceleration,temperature_intern,temperature_extern,temperature_GPS,evation,rain_24
1,2019-05-03T05:30:00Z,0,0,8.5,-2.7,20,1723,10.3
2,2019-05-03T05:35:00Z,0,0,8.5,-2.7,20,1723,10.3
3,2019-05-03T05:40:00Z,0,0,8.5,-2.7,20,1723,10.3
4,2019-05-03T05:45:00Z,0,0,8.5,-2.7,20.5,1723,10.3
5,2019-05-03T05:50:00Z,0,0,8.5,-2.7,20,1723,10.3
6,2019-05-03T05:55:00Z,0,0,8.5,-2.7,20.5,1723,10.3
7,2019-05-03T06:00:00Z,3,4,8.5,-1.6,20,1723,10.3
8,2019-05-03T06:05:00Z,1,1,8.5,-1.6,17,1723,10.3
9,2019-05-03T06:10:00Z,1,1,8.5,-1.6,15,1723,10.3
10,2019-05-03T06:15:00Z,0,0,8.5,-1.6,12.5,1723,10.3
11,2019-05-03T06:20:00Z,0,0,8.5,-1.6,10.5,1723,10.3
12,2019-05-03T06:25:00Z,1,1,8.5,-1.6,9,1723,10.3
13,2019-05-03T06:30:00Z,0,0,8.5,-1.6,8,1723,10.3
14,2019-05-03T06:35:00Z,0,0,8.5,-1.6,7,1723,10.3
15,2019-05-03T06:40:00Z,0,0,8.5,-1.6,6.5,1723,10.3
16,2019-05-03T06:45:00Z,0,0,8.5,-1.6,6.5,1723,10.3
17,2019-05-03T06:50:00Z,0,0,8.5,-1.6,6.5,1723,10.3
18,2019-05-03T06:55:00Z,0,0,8.5,-1.6,8,1723,10.3
19,2019-05-03T07:00:00Z,0,0,8.5,0,9,1723,10.3
20,2019-05-03T07:05:00Z,0,0,8.5,0,10.5,1723,10.3
21,2019-05-03T07:10:00Z,0,0,8.5,0,11,1723,10.3
22,2019-05-03T07:15:00Z,0,0,8.5,0,11.5,1723,10.3
23,2019-05-03T07:20:00Z,0,0,8.5,0,12.5,1723,10.3
24,2019-05-03T07:25:00Z,1,2,8.5,0,14,1723,10.3
25,2019-05-03T07:30:00Z,7,6,8.5,0,13,1723,10.3
26,2019-05-03T07:35:00Z,6,5,8.5,0,10.5,1723,10.3
27,2019-05-03T07:40:00Z,6,5,8.5,0,9,1723,10.3
28,2019-05-03T07:45:00Z,4,3,8.5,0,8,1723,10.3
29,2019-05-03T07:50:00Z,5,3,8.5,0,8,1723,10.3
30,2019-05-03T07:55:00Z,3,3,8.5,0,8,1723,10.3
31,2019-05-03T08:00:00Z,4,3,8.5,1.7,8.5,1723,10.3
32,2019-05-03T08:05:00Z,4,3,8.5,1.7,8,1723,10.3
33,2019-05-03T08:10:00Z,4,3,8.5,1.7,8,1723,10.3
34,2019-05-03T08:15:00Z,5,3,8.5,1.7,7.5,1723,10.3
35,2019-05-03T08:20:00Z,3,2,8.5,1.7,7.5,1723,10.3
36,2019-05-03T08:25:00Z,3,2,8.5,1.7,8,1723,10.3
37,2019-05-03T08:30:00Z,2,2,8.5,1.7,8,1723,10.3
38,2019-05-03T08:35:00Z,3,2,8.5,1.7,8,1723,10.3
39,2019-05-03T08:40:00Z,2,1,8.5,1.7,8.5,1723,10.3
40,2019-05-03T08:45:00Z,0,0,8.5,1.7,8.5,1723,10.3
41,2019-05-03T08:50:00Z,0,0,8.5,1.7,9.5,1723,10.3
42,2019-05-03T08:55:00Z,0,0,8.5,1.7,10,1723,10.3
43,2019-05-03T09:00:00Z,0,0,8.5,3.5,11.5,1723,10.3
44,2019-05-03T09:05:00Z,0,0,8.5,3.5,11.5,1723,10.3
45,2019-05-03T09:10:00Z,1,1,8.5,3.5,11.5,1723,10.3
46,2019-05-03T09:15:00Z,0,0,8.5,3.5,11,1723,10.3
47,2019-05-03T09:20:00Z,0,0,8.5,3.5,11.5,1723,10.3
48,2019-05-03T09:25:00Z,0,0,8.5,3.5,11.5,1723,10.3
49,2019-05-03T09:30:00Z,0,0,8.5,3.5,12.5,1723,10.3
50,2019-05-03T09:35:00Z,0,0,8.5,3.5,12.5,1723,10.3
51,2019-05-03T09:40:00Z,0,0,8.5,3.5,12.5,1723,10.3
52,2019-05-03T09:45:00Z,1,1,8.5,3.5,13,1723,10.3
53,2019-05-03T09:50:00Z,1,2,8.5,3.5,13.5,1723,10.3
54,2019-05-03T09:55:00Z,2,3,8.5,3.5,14.5,1723,10.3
55,2019-05-03T10:00:00Z,2,2,32,4.7,14.5,1723,10.3
56,2019-05-03T10:05:00Z,0,0,32,4.7,15,1723,10.3
57,2019-05-03T10:10:00Z,0,0,32,4.7,16.5,1723,10.3
58,2019-05-03T10:15:00Z,0,0,32,4.7,18.5,1723,10.3
59,2019-05-03T10:20:00Z,0,0,32,4.7,20.5,1723,10.3
60,2019-05-03T10:25:00Z,0,0,32,4.7,22,1723,10.3
61,2019-05-03T10:30:00Z,0,0,32,4.7,23,1723,10.3
62,2019-05-03T10:35:00Z,0,0,32,4.7,25,1723,10.3
63,2019-05-03T10:40:00Z,0,0,32,4.7,26,1723,10.3
64,2019-05-03T10:45:00Z,0,0,32,4.7,26.5,1723,10.3
65,2019-05-03T10:50:00Z,0,0,32,4.7,27,1723,10.3
66,2019-05-03T10:55:00Z,0,0,32,4.7,28,1723,10.3
67,2019-05-03T11:00:00Z,0,0,32,4.7,28.5,1723,10.3
68,2019-05-03T11:05:00Z,0,0,32,4.7,28.5,1723,10.3
69,2019-05-03T11:10:00Z,0,0,32,4.7,28.5,1723,10.3
70,2019-05-03T11:15:00Z,0,0,32,4.7,29.5,1723,10.3
71,2019-05-03T11:20:00Z,0,0,32,4.7,29.5,1723,10.3
72,2019-05-03T11:25:00Z,0,0,32,4.7,30.5,1723,10.3
73,2019-05-03T11:30:00Z,0,0,32,4.7,31.5,1723,10.3
74,2019-05-03T11:35:00Z,0,0,32,4.7,31,1723,10.3
75,2019-05-03T11:40:00Z,0,0,32,4.7,31,1723,10.3
76,2019-05-03T11:45:00Z,0,0,32,4.7,31.5,1723,10.3
77,2019-05-03T11:50:00Z,0,0,32,4.7,32,1723,10.3
78,2019-05-03T11:55:00Z,0,0,32,4.7,32,1723,10.3
79,2019-05-03T12:00:00Z,0,0,32,6,32,1723,10.3
80,2019-05-03T12:05:00Z,0,0,32,6,31,1723,10.3
81,2019-05-03T12:10:00Z,0,0,32,6,31,1723,10.3
82,2019-05-03T12:15:00Z,0,0,32,6,32,1723,10.3
83,2019-05-03T12:20:00Z,0,0,32,6,31,1723,10.3
84,2019-05-03T12:25:00Z,3,3,32,6,26.5,1723,10.3
85,2019-05-03T12:30:00Z,3,2,32,6,24.5,1723,10.3
86,2019-05-03T12:35:00Z,6,4,32,6,22.5,1723,10.3
87,2019-05-03T12:40:00Z,2,2,32,6,22.5,1723,10.3
88,2019-05-03T12:45:00Z,1,1,32,6,25.5,1723,10.3
89,2019-05-03T12:50:00Z,1,1,32,6,25.5,1723,10.3
90,2019-05-03T12:55:00Z,0,0,32,6,26.5,1723,10.3
91,2019-05-03T13:00:00Z,0,0,32,6.1,27.5,1723,10.3
92,2019-05-03T13:05:00Z,0,0,32,6.1,28,1723,10.3
93,2019-05-03T13:10:00Z,0,1,32,6.1,28,1723,10.3
94,2019-05-03T13:15:00Z,1,1,32,6.1,27,1723,10.3
95,2019-05-03T13:20:00Z,0,0,32,6.1,27,1723,10.3
96,2019-05-03T13:25:00Z,0,1,32,6.1,26.5,1723,10.3
97,2019-05-03T13:30:00Z,0,0,32,6.1,26.5,1723,10.3
98,2019-05-03T13:35:00Z,1,1,32,6.1,26,1723,10.3
99,2019-05-03T13:40:00Z,0,0,32,6.1,26.5,1723,10.3
100,2019-05-03T13:45:00Z,0,0,32,6.1,26.5,1723,10.3
101,2019-05-03T13:50:00Z,0,0,32,6.1,25,1723,10.3
102,2019-05-03T13:55:00Z,0,0,32,6.1,24.5,1723,10.3
103,2019-05-03T14:00:00Z,0,0,19,6.9,24.5,1723,10.3
104,2019-05-03T14:05:00Z,0,0,19,6.9,25,1723,10.3
105,2019-05-03T14:10:00Z,0,0,19,6.9,26,1723,10.3
106,2019-05-03T14:15:00Z,0,0,19,6.9,26.5,1723,10.3
107,2019-05-03T14:20:00Z,0,0,19,6.9,26.5,1723,10.3
108,2019-05-03T14:25:00Z,0,0,19,6.9,26.5,1723,10.3
109,2019-05-03T14:30:00Z,0,0,19,6.9,27,1723,10.3
110,2019-05-03T14:35:00Z,0,0,19,6.9,27.5,1723,10.3
111,2019-05-03T14:40:00Z,0,0,19,6.9,27.5,1723,10.3
112,2019-05-03T14:45:00Z,0,0,19,6.9,27.5,1723,10.3
113,2019-05-03T14:50:00Z,0,0,19,6.9,27.5,1723,10.3
114,2019-05-03T14:55:00Z,0,0,19,6.9,28,1723,10.3
115,2019-05-03T15:00:00Z,0,0,19,6.7,28,1723,10.3
116,2019-05-03T15:05:00Z,0,0,19,6.7,28,1723,10.3
117,2019-05-03T15:10:00Z,0,0,19,6.7,28,1723,10.3
118,2019-05-03T15:15:00Z,0,0,19,6.7,28,1723,10.3
119,2019-05-03T15:20:00Z,0,0,19,6.7,28,1723,10.3
120,2019-05-03T15:25:00Z,0,0,19,6.7,28,1723,10.3
121,2019-05-03T15:30:00Z,3,2,19,6.7,26,1723,10.3
