Longitude,Latitude,Time,Temperature,elevation
10.1439036,46.6852845,2019-05-03T06:01:10Z,8.5,1723
10.1439036,46.6852845,2019-05-03T10:00:33Z,32,1723
10.1439036,46.6852845,2019-05-03T14:01:10Z,19,1723
10.1426877,46.6839349,2019-05-03T18:00:51Z,16.5,1674
10.1426877,46.6837128,2019-05-03T20:00:35Z,22.5,1674
10.1428181,46.6838847,2019-05-03T22:00:33Z,21.5,1674
10.1428181,46.6838847,2019-05-04T02:01:10Z,19.5,1674
10.1428181,46.6838847,2019-05-04T06:01:10Z,9,1674
10.1479823,46.6810288,2019-05-04T10:01:08Z,30,1860
10.1657668,46.6877244,2019-05-04T14:01:08Z,24,2093
10.1433075,46.6814755,2019-05-04T18:00:34Z,16.5,1660
10.1433075,46.6814755,2019-05-04T20:01:10Z,6.5,1660
10.1232564,46.6912247,2019-05-04T22:01:05Z,3,1557
10.1218556,46.6940405,2019-05-05T02:00:51Z,19,1591
10.1217877,46.6937059,2019-05-05T06:00:35Z,7.5,1591
10.1221024,46.6936023,2019-05-05T10:01:04Z,11,1586
10.1221024,46.6936023,2019-05-05T14:01:10Z,6,1586
10.1217325,46.693719,2019-05-05T18:00:34Z,22,1591
10.1219131,46.6936286,2019-05-05T20:00:06Z,26,1609
10.1212744,46.6928169,2019-05-05T22:01:03Z,7,1533
10.1235072,46.6933695,2019-05-06T02:01:08Z,17.5,1629
10.122364,46.6922176,2019-05-06T06:00:34Z,25,1548
10.1227977,46.6921561,2019-05-06T10:00:35Z,22,1565
10.1216825,46.6921633,2019-05-06T14:00:39Z,24.5,1536
10.1214316,46.6927857,2019-05-06T18:00:33Z,20.5,1544
10.121677,46.6920181,2019-05-06T20:01:10Z,5.5,1536
10.1252659,46.6924961,2019-05-06T22:01:10Z,1,1603
10.1040188,46.6057196,2019-05-07T02:01:07Z,14,2746
10.1210878,46.6921824,2019-05-07T06:01:06Z,21,1536
10.1217514,46.6922136,2019-05-07T10:01:06Z,27,1536
10.1227137,46.6918105,2019-05-07T14:00:33Z,23,1550
10.1152531,46.6942379,2019-05-07T18:00:34Z,7.5,1550
10.1058662,46.6992117,2019-05-07T20:00:53Z,5,1578
10.120621,46.7344532,2019-05-07T22:01:07Z,5,2870
10.1353191,46.7553637,2019-05-08T02:01:06Z,7.5,1881
10.1342444,46.7653023,2019-05-08T06:00:33Z,20.5,1543
10.1342195,46.7652073,2019-05-08T10:00:51Z,19.5,1543
10.1336389,46.7656393,2019-05-08T14:01:10Z,24.5,1498
10.1314641,46.766853,2019-05-08T18:00:33Z,9,1444
10.1311357,46.7679782,2019-05-08T20:00:11Z,14.5,1417
10.1304951,46.767476,2019-05-08T22:00:33Z,12.5,1425
10.1390519,46.7526298,2019-05-09T02:01:04Z,15,2125
10.1390519,46.7526298,2019-05-09T06:01:10Z,28,2125
10.1352484,46.7654066,2019-05-09T10:01:06Z,26.5,1516
10.1409331,46.7536221,2019-05-09T14:00:56Z,27,2141
10.129341,46.7676756,2019-05-09T18:00:33Z,10,1417
10.1320422,46.7675454,2019-05-09T20:00:18Z,8.5,1426
10.1387437,46.7665989,2019-05-09T22:00:55Z,22,1440
10.1304053,46.7712606,2019-05-10T02:01:06Z,7.5,1406
10.1304053,46.7712606,2019-05-10T06:01:10Z,22,1406
10.1469718,46.764078,2019-05-10T10:01:03Z,28,1676
10.1531634,46.7616122,2019-05-10T14:00:33Z,19.5,1762
10.137835,46.768283,2019-05-10T18:00:33Z,11.5,1387
10.1331564,46.7710291,2019-05-10T20:00:11Z,16.5,1375
10.1297025,46.7698865,2019-05-10T22:00:57Z,10,1381
10.1605871,46.7562288,2019-05-11T02:01:09Z,17.5,1934
