"","time","X_acceleration","Y_acceleration","temperature"
"1",2019-05-03 05:30:00,0,0,20
"2",2019-05-03 05:35:00,0,0,20
"3",2019-05-03 05:40:00,0,0,20
"4",2019-05-03 05:45:00,0,0,20.5
"5",2019-05-03 05:50:00,0,0,20
"6",2019-05-03 05:55:00,0,0,20.5
"7",2019-05-03 06:00:00,3,4,20
"8",2019-05-03 06:05:00,1,1,17
"9",2019-05-03 06:10:00,1,1,15
"10",2019-05-03 06:15:00,0,0,12.5
"11",2019-05-03 06:20:00,0,0,10.5
"12",2019-05-03 06:25:00,1,1,9
"13",2019-05-03 06:30:00,0,0,8
"14",2019-05-03 06:35:00,0,0,7
"15",2019-05-03 06:40:00,0,0,6.5
"16",2019-05-03 06:45:00,0,0,6.5
"17",2019-05-03 06:50:00,0,0,6.5
"18",2019-05-03 06:55:00,0,0,8
"19",2019-05-03 07:00:00,0,0,9
"20",2019-05-03 07:05:00,0,0,10.5
"21",2019-05-03 07:10:00,0,0,11
"22",2019-05-03 07:15:00,0,0,11.5
"23",2019-05-03 07:20:00,0,0,12.5
"24",2019-05-03 07:25:00,1,2,14
"25",2019-05-03 07:30:00,7,6,13
"26",2019-05-03 07:35:00,6,5,10.5
"27",2019-05-03 07:40:00,6,5,9
"28",2019-05-03 07:45:00,4,3,8
"29",2019-05-03 07:50:00,5,3,8
"30",2019-05-03 07:55:00,3,3,8
"31",2019-05-03 08:00:00,4,3,8.5
"32",2019-05-03 08:05:00,4,3,8
"33",2019-05-03 08:10:00,4,3,8
"34",2019-05-03 08:15:00,5,3,7.5
"35",2019-05-03 08:20:00,3,2,7.5
"36",2019-05-03 08:25:00,3,2,8
"37",2019-05-03 08:30:00,2,2,8
"38",2019-05-03 08:35:00,3,2,8
"39",2019-05-03 08:40:00,2,1,8.5
"40",2019-05-03 08:45:00,0,0,8.5
"41",2019-05-03 08:50:00,0,0,9.5
"42",2019-05-03 08:55:00,0,0,10
"43",2019-05-03 09:00:00,0,0,11.5
"44",2019-05-03 09:05:00,0,0,11.5
"45",2019-05-03 09:10:00,1,1,11.5
"46",2019-05-03 09:15:00,0,0,11
"47",2019-05-03 09:20:00,0,0,11.5
"48",2019-05-03 09:25:00,0,0,11.5
"49",2019-05-03 09:30:00,0,0,12.5
"50",2019-05-03 09:35:00,0,0,12.5
"51",2019-05-03 09:40:00,0,0,12.5
"52",2019-05-03 09:45:00,1,1,13
"53",2019-05-03 09:50:00,1,2,13.5
"54",2019-05-03 09:55:00,2,3,14.5
"55",2019-05-03 10:00:00,2,2,14.5
"56",2019-05-03 10:05:00,0,0,15
"57",2019-05-03 10:10:00,0,0,16.5
"58",2019-05-03 10:15:00,0,0,18.5
"59",2019-05-03 10:20:00,0,0,20.5
"60",2019-05-03 10:25:00,0,0,22
"61",2019-05-03 10:30:00,0,0,23
"62",2019-05-03 10:35:00,0,0,25
"63",2019-05-03 10:40:00,0,0,26
"64",2019-05-03 10:45:00,0,0,26.5
"65",2019-05-03 10:50:00,0,0,27
"66",2019-05-03 10:55:00,0,0,28
"67",2019-05-03 11:00:00,0,0,28.5
"68",2019-05-03 11:05:00,0,0,28.5
"69",2019-05-03 11:10:00,0,0,28.5
"70",2019-05-03 11:15:00,0,0,29.5
"71",2019-05-03 11:20:00,0,0,29.5
"72",2019-05-03 11:25:00,0,0,30.5
"73",2019-05-03 11:30:00,0,0,31.5
"74",2019-05-03 11:35:00,0,0,31
"75",2019-05-03 11:40:00,0,0,31
"76",2019-05-03 11:45:00,0,0,31.5
"77",2019-05-03 11:50:00,0,0,32
"78",2019-05-03 11:55:00,0,0,32
"79",2019-05-03 12:00:00,0,0,32
"80",2019-05-03 12:05:00,0,0,31
"81",2019-05-03 12:10:00,0,0,31
"82",2019-05-03 12:15:00,0,0,32
"83",2019-05-03 12:20:00,0,0,31
"84",2019-05-03 12:25:00,3,3,26.5
"85",2019-05-03 12:30:00,3,2,24.5
"86",2019-05-03 12:35:00,6,4,22.5
"87",2019-05-03 12:40:00,2,2,22.5
"88",2019-05-03 12:45:00,1,1,25.5
"89",2019-05-03 12:50:00,1,1,25.5
"90",2019-05-03 12:55:00,0,0,26.5
"91",2019-05-03 13:00:00,0,0,27.5
"92",2019-05-03 13:05:00,0,0,28
"93",2019-05-03 13:10:00,0,1,28
"94",2019-05-03 13:15:00,1,1,27
"95",2019-05-03 13:20:00,0,0,27
"96",2019-05-03 13:25:00,0,1,26.5
"97",2019-05-03 13:30:00,0,0,26.5
"98",2019-05-03 13:35:00,1,1,26
"99",2019-05-03 13:40:00,0,0,26.5
"100",2019-05-03 13:45:00,0,0,26.5
"101",2019-05-03 13:50:00,0,0,25
"102",2019-05-03 13:55:00,0,0,24.5
"103",2019-05-03 14:00:00,0,0,24.5
"104",2019-05-03 14:05:00,0,0,25
"105",2019-05-03 14:10:00,0,0,26
"106",2019-05-03 14:15:00,0,0,26.5
"107",2019-05-03 14:20:00,0,0,26.5
"108",2019-05-03 14:25:00,0,0,26.5
"109",2019-05-03 14:30:00,0,0,27
"110",2019-05-03 14:35:00,0,0,27.5
"111",2019-05-03 14:40:00,0,0,27.5
"112",2019-05-03 14:45:00,0,0,27.5
"113",2019-05-03 14:50:00,0,0,27.5
"114",2019-05-03 14:55:00,0,0,28
"115",2019-05-03 15:00:00,0,0,28
"116",2019-05-03 15:05:00,0,0,28
"117",2019-05-03 15:10:00,0,0,28
"118",2019-05-03 15:15:00,0,0,28
"119",2019-05-03 15:20:00,0,0,28
"120",2019-05-03 15:25:00,0,0,28
"121",2019-05-03 15:30:00,3,2,26
"122",2019-05-03 15:35:00,3,2,23.5
"123",2019-05-03 15:40:00,3,1,21
"124",2019-05-03 15:45:00,4,2,19.5
"125",2019-05-03 15:50:00,5,2,19.5
"126",2019-05-03 15:55:00,4,2,20
"127",2019-05-03 16:00:00,4,2,18.5
"128",2019-05-03 16:05:00,4,2,17.5
"129",2019-05-03 16:10:00,3,2,17
"130",2019-05-03 16:15:00,3,2,16.5
"131",2019-05-03 16:20:00,4,2,15.5
"132",2019-05-03 16:25:00,5,2,14
"133",2019-05-03 16:30:00,6,2,13.5
"134",2019-05-03 16:35:00,4,3,13
"135",2019-05-03 16:40:00,1,0,13.5
"136",2019-05-03 16:45:00,0,0,15
"137",2019-05-03 16:50:00,0,0,17
"138",2019-05-03 16:55:00,0,0,18.5
"139",2019-05-03 17:00:00,0,0,20
"140",2019-05-03 17:05:00,0,0,20.5
"141",2019-05-03 17:10:00,0,0,21.5
"142",2019-05-03 17:15:00,0,0,23.5
"143",2019-05-03 17:20:00,0,0,25.5
"144",2019-05-03 17:25:00,0,0,25.5
"145",2019-05-03 17:30:00,0,0,26
"146",2019-05-03 17:35:00,0,0,25.5
"147",2019-05-03 17:40:00,0,0,25.5
"148",2019-05-03 17:45:00,0,0,25
"149",2019-05-03 17:50:00,0,0,25
"150",2019-05-03 17:55:00,0,0,25
"151",2019-05-03 18:00:00,0,0,25
"152",2019-05-03 18:05:00,0,0,25.5
"153",2019-05-03 18:10:00,0,0,25.5
"154",2019-05-03 18:15:00,0,0,25.5
"155",2019-05-03 18:20:00,0,0,25
"156",2019-05-03 18:25:00,0,0,24.5
"157",2019-05-03 18:30:00,0,0,24
"158",2019-05-03 18:35:00,0,0,23
"159",2019-05-03 18:40:00,0,0,22
"160",2019-05-03 18:45:00,0,0,21
"161",2019-05-03 18:50:00,0,0,20.5
"162",2019-05-03 18:55:00,0,0,20
"163",2019-05-03 19:00:00,0,0,19
"164",2019-05-03 19:05:00,0,0,19
"165",2019-05-03 19:10:00,0,0,18.5
"166",2019-05-03 19:15:00,0,0,19
"167",2019-05-03 19:20:00,0,0,18.5
"168",2019-05-03 19:25:00,0,0,18
"169",2019-05-03 19:30:00,0,0,18
"170",2019-05-03 19:35:00,0,0,17.5
"171",2019-05-03 19:40:00,0,0,17.5
"172",2019-05-03 19:45:00,0,0,17
"173",2019-05-03 19:50:00,0,0,16.5
"174",2019-05-03 19:55:00,0,0,16.5
"175",2019-05-03 20:00:00,0,0,16
"176",2019-05-03 20:05:00,0,0,16
"177",2019-05-03 20:10:00,0,0,15.5
"178",2019-05-03 20:15:00,0,0,15.5
"179",2019-05-03 20:20:00,0,0,15
"180",2019-05-03 20:25:00,0,0,15
"181",2019-05-03 20:30:00,0,0,14.5
"182",2019-05-03 20:35:00,0,0,15
"183",2019-05-03 20:40:00,0,0,15.5
"184",2019-05-03 20:45:00,0,0,16
"185",2019-05-03 20:50:00,0,0,17
"186",2019-05-03 20:55:00,0,0,17.5
"187",2019-05-03 21:00:00,0,0,18
"188",2019-05-03 21:05:00,0,0,18.5
"189",2019-05-03 21:10:00,0,0,18.5
"190",2019-05-03 21:15:00,0,0,19
"191",2019-05-03 21:20:00,0,0,19
"192",2019-05-03 21:25:00,0,0,19.5
