X,time,X_acceleration,Y_acceleration,temperature_intern,temperature_extern,temperature_GPS,evation,rain_24
1,2019-05-23T05:15:00Z,0,0,15,-3.3,19.5,1862,0.2
2,2019-05-23T05:20:00Z,0,0,15,-3.3,19.5,1862,0.2
3,2019-05-23T05:25:00Z,0,0,15,-3.3,19,1862,0.2
4,2019-05-23T05:30:00Z,0,0,15,-3.3,19,1862,0.2
5,2019-05-23T05:35:00Z,4,3,15,-3.3,18.5,1862,0.2
6,2019-05-23T05:40:00Z,2,1,15,-3.3,17,1862,0.2
7,2019-05-23T05:45:00Z,2,2,15,-3.3,15.5,1862,0.2
8,2019-05-23T05:50:00Z,0,0,15,-3.3,15,1862,0.2
9,2019-05-23T05:55:00Z,0,0,15,-3.3,17.5,1862,0.2
10,2019-05-23T06:00:00Z,0,0,15,-1.9,20.5,1862,0.1
11,2019-05-23T06:05:00Z,0,0,15,-1.9,22.5,1862,0.1
12,2019-05-23T06:10:00Z,0,0,15,-1.9,24,1862,0.1
13,2019-05-23T06:15:00Z,0,0,15,-1.9,24.5,1862,0.1
14,2019-05-23T06:20:00Z,0,1,15,-1.9,23.5,1862,0.1
15,2019-05-23T06:25:00Z,3,2,15,-1.9,21.5,1862,0.1
16,2019-05-23T06:30:00Z,0,0,15,-1.9,21.5,1862,0.1
17,2019-05-23T06:35:00Z,0,0,15,-1.9,23,1862,0.1
18,2019-05-23T06:40:00Z,0,0,15,-1.9,23,1862,0.1
19,2019-05-23T06:45:00Z,1,1,15,-1.9,22,1862,0.1
20,2019-05-23T06:50:00Z,0,0,15,-1.9,20.5,1862,0.1
21,2019-05-23T06:55:00Z,0,0,15,-1.9,20,1862,0.1
22,2019-05-23T07:00:00Z,0,0,15,3.6,19.5,1862,0.1
23,2019-05-23T07:05:00Z,4,3,15,3.6,18.5,1862,0.1
24,2019-05-23T07:10:00Z,3,2,15,3.6,17,1862,0.1
25,2019-05-23T07:15:00Z,3,2,15,3.6,16.5,1862,0.1
26,2019-05-23T07:20:00Z,3,2,15,3.6,15.5,1862,0.1
27,2019-05-23T07:25:00Z,2,1,15,3.6,15.5,1862,0.1
28,2019-05-23T07:30:00Z,3,2,15,3.6,15,1862,0.1
29,2019-05-23T07:35:00Z,2,1,15,3.6,15.5,1862,0.1
30,2019-05-23T07:40:00Z,4,1,15,3.6,14.5,1862,0.1
31,2019-05-23T07:45:00Z,3,1,15,3.6,14,1862,0.1
32,2019-05-23T07:50:00Z,4,2,15,3.6,14,1862,0.1
33,2019-05-23T07:55:00Z,4,2,15,3.6,14,1862,0.1
34,2019-05-23T08:00:00Z,3,1,15,6.3,14,1862,0.1
35,2019-05-23T08:05:00Z,0,0,15,6.3,15,1862,0.1
36,2019-05-23T08:10:00Z,0,0,15,6.3,17.5,1862,0.1
37,2019-05-23T08:15:00Z,0,0,15,6.3,19,1862,0.1
38,2019-05-23T08:20:00Z,0,0,15,6.3,20.5,1862,0.1
39,2019-05-23T08:25:00Z,0,0,15,6.3,21.5,1862,0.1
40,2019-05-23T08:30:00Z,0,0,15,6.3,22,1862,0.1
41,2019-05-23T08:35:00Z,0,0,15,6.3,23.5,1862,0.1
42,2019-05-23T08:40:00Z,0,0,15,6.3,25.5,1862,0.1
