Longitude,Latitude,Time,Temperature,elevation
10.2081763,46.6661798,2019-05-23T06:01:05Z,15,1862
10.2102415,46.6658754,2019-05-23T10:01:10Z,29,1863
10.2097555,46.6658342,2019-05-23T14:01:06Z,26.5,1863
10.2097555,46.6658342,2019-05-23T18:01:10Z,33,1863
10.1854956,46.6411262,2019-05-23T20:00:51Z,8,1847
10.1854936,46.6410528,2019-05-23T22:00:33Z,23.5,1847
10.1854936,46.6410528,2019-05-24T02:01:10Z,23,1847
10.1854936,46.6410528,2019-05-24T06:01:10Z,16.5,1847
10.1955371,46.6293443,2019-05-24T10:01:08Z,21.5,1734
10.1955371,46.6293443,2019-05-24T14:01:10Z,26,1734
10.2024427,46.6327525,2019-05-24T18:00:34Z,26,2050
10.1858026,46.6411367,2019-05-24T20:01:10Z,24,1863
10.1973689,46.6604496,2019-05-24T22:01:08Z,7.5,1762
10.1973689,46.6604496,2019-05-25T02:01:10Z,6.5,1762
10.1973689,46.6604496,2019-05-25T06:01:10Z,27.5,1762
10.1921679,46.6414224,2019-05-25T10:00:59Z,17,2026
10.1921679,46.6414224,2019-05-25T14:01:10Z,28,2026
10.1921679,46.6414224,2019-05-25T18:01:10Z,27.5,2026
10.2107331,46.6634982,2019-05-25T20:00:35Z,6.5,1796
10.2109812,46.6632465,2019-05-25T22:00:35Z,7,1799
10.2109812,46.6632465,2019-05-26T02:01:10Z,7.5,1799
10.2109812,46.6632465,2019-05-26T06:01:10Z,28,1799
10.2109812,46.6632465,2019-05-26T10:01:10Z,22.5,1799
10.1415372,46.5361935,2019-05-26T14:01:05Z,30,1829
10.198368,46.6324408,2019-05-26T18:01:01Z,29,1884
10.198368,46.6324408,2019-05-26T20:01:10Z,6.5,1884
10.1966454,46.6587113,2019-05-26T22:00:35Z,11,1765
10.1970478,46.6583347,2019-05-27T02:01:05Z,7,1779
10.1970478,46.6583347,2019-05-27T06:01:10Z,21,1779
10.1970478,46.6583347,2019-05-27T10:01:10Z,26,1779
10.1970478,46.6583347,2019-05-27T14:01:10Z,18,1779
10.1970478,46.6583347,2019-05-27T18:01:10Z,8,1779
10.1970478,46.6583347,2019-05-27T20:01:10Z,22.5,1779
10.1970478,46.6583347,2019-05-27T22:01:10Z,23,1779
10.1970478,46.6583347,2019-05-28T02:01:10Z,6,1779
10.1970478,46.6583347,2019-05-28T06:01:10Z,24.5,1779
10.1970478,46.6583347,2019-05-28T10:01:10Z,20.5,1779
10.1970478,46.6583347,2019-05-28T14:01:10Z,24.5,1779
