X,time,X_acceleration,Y_acceleration,temperature_intern,temperature_extern,temperature_GPS,evation,rain_24
3889,2021-04-25T08:55:00Z,58,31,35,5.7,15,2007,0
3890,2021-04-25T09:00:00Z,48,28,35,7,16,2007,0
3891,2021-04-25T09:05:00Z,14,14,35,7,16,2007,0
3892,2021-04-25T09:10:00Z,0,0,35,7,17,2007,0
3893,2021-04-25T09:15:00Z,0,0,35,7,18,2007,0
3894,2021-04-25T09:20:00Z,0,0,35,7,21,2007,0
3895,2021-04-25T09:25:00Z,0,0,35,7,22,2007,0
3896,2021-04-25T09:30:00Z,0,0,35,7,23,2007,0
3897,2021-04-25T09:35:00Z,0,0,35,7,23,2007,0
3898,2021-04-25T09:40:00Z,0,0,35,7,23,2007,0
3899,2021-04-25T09:45:00Z,0,0,35,7,24,2007,0
3900,2021-04-25T09:50:00Z,0,0,35,7,25,2007,0
3901,2021-04-25T09:55:00Z,0,0,35,7,26,2007,0
3902,2021-04-25T10:00:00Z,0,0,35,7.5,26,2007,0
3903,2021-04-25T10:05:00Z,0,0,35,7.5,28,2007,0
3904,2021-04-25T10:10:00Z,0,0,35,7.5,29,2007,0
3905,2021-04-25T10:15:00Z,0,0,35,7.5,28,2007,0
3906,2021-04-25T10:20:00Z,0,0,35,7.5,27,2007,0
3907,2021-04-25T10:25:00Z,0,0,35,7.5,26,2007,0
3908,2021-04-25T10:30:00Z,2,2,35,7.5,26,2007,0
3909,2021-04-25T10:35:00Z,30,14,35,7.5,27,2007,0
3910,2021-04-25T10:40:00Z,84,43,35,7.5,27,2007,0
3911,2021-04-25T10:45:00Z,97,62,35,7.5,26,2007,0
3912,2021-04-25T10:50:00Z,62,27,35,7.5,26,2007,0
3913,2021-04-25T10:55:00Z,79,56,35,7.5,27,2007,0
3914,2021-04-25T11:00:00Z,84,47,35,7.9,27,2007,0
3915,2021-04-25T11:05:00Z,59,30,35,7.9,27,2007,0
3916,2021-04-25T11:10:00Z,64,40,35,7.9,27,2007,0
3917,2021-04-25T11:15:00Z,57,39,35,7.9,26,2007,0
3918,2021-04-25T11:20:00Z,31,20,35,7.9,26,2007,0
3919,2021-04-25T11:25:00Z,36,21,35,7.9,26,2007,0
3920,2021-04-25T11:30:00Z,32,14,35,7.9,27,2007,0
3921,2021-04-25T11:35:00Z,34,22,35,7.9,29,2007,0
3922,2021-04-25T11:40:00Z,56,20,35,7.9,29,2007,0
3923,2021-04-25T11:45:00Z,59,24,35,7.9,29,2007,0
3924,2021-04-25T11:50:00Z,39,27,35,7.9,31,2007,0
3925,2021-04-25T11:55:00Z,0,0,35,7.9,33,2007,0
3926,2021-04-25T12:00:00Z,0,0,35,8.4,35,2007,0
3927,2021-04-25T12:05:00Z,0,0,35,8.4,36,2007,0
3928,2021-04-25T12:10:00Z,0,0,35,8.4,39,2007,0
3929,2021-04-25T12:15:00Z,0,0,35,8.4,40,2007,0
3930,2021-04-25T12:20:00Z,0,0,35,8.4,40,2007,0
3931,2021-04-25T12:25:00Z,0,0,35,8.4,40,2007,0
3932,2021-04-25T12:30:00Z,31,20,35,8.4,40,2007,0
3933,2021-04-25T12:35:00Z,41,24,35,8.4,39,2007,0
3934,2021-04-25T12:40:00Z,11,5,35,8.4,38,2007,0
3935,2021-04-25T12:45:00Z,0,0,35,8.4,37,2007,0
3936,2021-04-25T12:50:00Z,0,0,35,8.4,38,2007,0
3937,2021-04-25T12:55:00Z,0,0,35,8.4,37,2007,0
3938,2021-04-25T13:00:00Z,0,0,35,9,37,2007,0
3939,2021-04-25T13:05:00Z,0,0,35,9,37,2007,0
3940,2021-04-25T13:10:00Z,0,0,35,9,36,2007,0
3941,2021-04-25T13:15:00Z,0,0,35,9,36,2007,0
3942,2021-04-25T13:20:00Z,0,0,35,9,37,2007,0
3943,2021-04-25T13:25:00Z,25,17,35,9,36,2007,0
3944,2021-04-25T13:30:00Z,55,45,35,9,36,2007,0
3945,2021-04-25T13:35:00Z,27,11,35,9,34,2007,0
3946,2021-04-25T13:40:00Z,60,31,35,9,34,2007,0
3947,2021-04-25T13:45:00Z,48,27,35,9,34,2007,0
3948,2021-04-25T13:50:00Z,46,33,35,9,32,2007,0
3949,2021-04-25T13:55:00Z,1,0,35,9,29,2007,0
3950,2021-04-25T14:00:00Z,0,0,22,9,26,2017,0
3951,2021-04-25T14:05:00Z,0,0,22,9,24,2017,0
3952,2021-04-25T14:10:00Z,0,0,22,9,22,2017,0
3953,2021-04-25T14:15:00Z,26,22,22,9,22,2017,0
3954,2021-04-25T14:20:00Z,66,29,22,9,22,2017,0
3955,2021-04-25T14:25:00Z,82,24,22,9,23,2017,0
3956,2021-04-25T14:30:00Z,59,29,22,9,24,2017,0
3957,2021-04-25T14:35:00Z,72,29,22,9,24,2017,0
3958,2021-04-25T14:40:00Z,51,30,22,9,25,2017,0
3959,2021-04-25T14:45:00Z,49,21,22,9,24,2017,0
3960,2021-04-25T14:50:00Z,34,17,22,9,23,2017,0
3961,2021-04-25T14:55:00Z,73,38,22,9,22,2017,0
3962,2021-04-25T15:00:00Z,82,32,22,9,22,2017,0
3963,2021-04-25T15:05:00Z,95,32,22,9,24,2017,0
3964,2021-04-25T15:10:00Z,53,40,22,9,25,2017,0
3965,2021-04-25T15:15:00Z,44,17,22,9,26,2017,0
3966,2021-04-25T15:20:00Z,0,0,22,9,27,2017,0
3967,2021-04-25T15:25:00Z,0,0,22,9,26,2017,0
3968,2021-04-25T15:30:00Z,0,0,22,9,25,2017,0
3969,2021-04-25T15:35:00Z,0,0,22,9,25,2017,0
3970,2021-04-25T15:40:00Z,0,0,22,9,24,2017,0
3971,2021-04-25T15:45:00Z,0,0,22,9,23,2017,0
3972,2021-04-25T15:50:00Z,0,0,22,9,23,2017,0
3973,2021-04-25T15:55:00Z,0,0,22,9,22,2017,0
3974,2021-04-25T16:00:00Z,0,0,22,8.5,22,2017,0
3975,2021-04-25T16:05:00Z,0,0,22,8.5,22,2017,0
3976,2021-04-25T16:10:00Z,0,0,22,8.5,22,2017,0
3977,2021-04-25T16:15:00Z,0,0,22,8.5,22,2017,0
3978,2021-04-25T16:20:00Z,0,0,22,8.5,22,2017,0
