 

stn    time           tre200h0  rre150h0  rre024i0
BUF    2019010100        -10.7       0.0       0.3
BUF    2019010101        -11.3       0.0       0.3
BUF    2019010102        -11.3       0.0       0.3
BUF    2019010103        -11.8       0.0       0.2
BUF    2019010104        -12.4       0.0       0.2
BUF    2019010105        -12.5       0.0       0.1
BUF    2019010106        -12.9       0.0       0.1
BUF    2019010107        -12.6       0.0       0.1
BUF    2019010108        -12.6       0.0       0.1
BUF    2019010109        -11.6       0.0       0.0
BUF    2019010110         -8.6       0.0       0.0
BUF    2019010111         -5.8       0.0       0.0
BUF    2019010112         -2.6       0.0       0.0
BUF    2019010113          0.4       0.0       0.0
BUF    2019010114          2.9       0.0       0.0
BUF    2019010115          2.7       0.0       0.0
BUF    2019010116          1.2       0.0       0.0
BUF    2019010117         -0.3       0.0       0.0
BUF    2019010118          1.2       0.0       0.0
BUF    2019010119          0.9       0.0       0.0
BUF    2019010120          0.7       0.0       0.0
BUF    2019010121         -2.9       0.0       0.0
BUF    2019010122         -4.9       0.0       0.0
BUF    2019010123         -4.4       0.0       0.0
BUF    2019010200         -4.0       0.0       0.0
BUF    2019010201         -5.2       0.0       0.0
BUF    2019010202         -4.2       0.0       0.0
BUF    2019010203         -4.4       0.0       0.0
BUF    2019010204         -4.5       0.0       0.0
BUF    2019010205         -5.0       0.0       0.0
BUF    2019010206         -6.2       0.0       0.0
BUF    2019010207         -7.4       0.1       0.1
BUF    2019010208         -8.2       0.0       0.1
BUF    2019010209         -8.8       0.0       0.1
BUF    2019010210         -9.0       0.1       0.2
BUF    2019010211         -9.2       0.0       0.2
BUF    2019010212         -9.4       0.0       0.2
BUF    2019010213         -9.6       0.1       0.3
BUF    2019010214         -9.8       0.4       0.7
BUF    2019010215         -9.8       0.3       1.0
BUF    2019010216         -9.9       0.3       1.3
BUF    2019010217         -9.9       0.2       1.5
BUF    2019010218        -10.3       0.3       1.8
BUF    2019010219        -10.6       0.7       2.5
BUF    2019010220        -10.5       0.3       2.8
BUF    2019010221        -10.7       0.2       3.0
BUF    2019010222        -11.1       0.0       3.0
BUF    2019010223        -11.4       0.1       3.1
BUF    2019010300        -11.4       0.2       3.3
BUF    2019010301        -11.3       0.0       3.3
BUF    2019010302        -12.2       0.0       3.3
BUF    2019010303        -14.3       0.0       3.3
BUF    2019010304        -16.2       0.0       3.3
BUF    2019010305        -11.9       0.0       3.3
BUF    2019010306        -11.7       0.0       3.3
BUF    2019010307        -13.3       0.0       3.2
BUF    2019010308        -15.8       0.0       3.2
BUF    2019010309        -17.1       0.0       3.2
BUF    2019010310        -13.1       0.0       3.1
BUF    2019010311         -9.7       0.0       3.1
BUF    2019010312        -10.1       0.0       3.1
BUF    2019010313         -9.9       0.0       3.0
BUF    2019010314        -10.4       0.0       2.6
BUF    2019010315        -11.3       0.0       2.3
BUF    2019010316        -13.7       0.0       2.0
BUF    2019010317        -16.7       0.0       1.8
BUF    2019010318        -17.1       0.0       1.5
BUF    2019010319        -16.2       0.0       0.8
BUF    2019010320        -13.2       0.0       0.5
BUF    2019010321        -10.8       0.0       0.3
BUF    2019010322        -10.4       0.0       0.3
BUF    2019010323        -10.2       0.0       0.2
BUF    2019010400        -10.4       0.0       0.0
BUF    2019010401        -11.1       0.0       0.0
BUF    2019010402        -12.4       0.0       0.0
BUF    2019010403        -14.9       0.0       0.0
BUF    2019010404        -17.3       0.0       0.0
BUF    2019010405        -18.2       0.0       0.0
BUF    2019010406        -14.8       0.0       0.0
BUF    2019010407        -14.1       0.0       0.0
BUF    2019010408        -14.2       0.0       0.0
BUF    2019010409        -13.9       0.0       0.0
BUF    2019010410        -11.8       0.0       0.0
BUF    2019010411         -9.3       0.0       0.0
BUF    2019010412         -7.7       0.0       0.0
BUF    2019010413         -6.9       0.0       0.0
BUF    2019010414         -6.5       0.0       0.0
BUF    2019010415         -7.2       0.0       0.0
BUF    2019010416         -8.2       0.0       0.0
BUF    2019010417         -9.0       0.0       0.0
BUF    2019010418         -9.3       0.0       0.0
BUF    2019010419         -9.5       0.0       0.0
BUF    2019010420         -7.7       0.0       0.0
BUF    2019010421         -5.3       0.0       0.0
BUF    2019010422         -5.4       0.0       0.0
BUF    2019010423         -5.4       0.0       0.0
BUF    2019010500         -5.4       0.0       0.0
BUF    2019010501         -5.7       0.0       0.0
BUF    2019010502         -5.9       0.0       0.0
BUF    2019010503         -7.3       0.0       0.0
BUF    2019010504         -8.1       0.0       0.0
BUF    2019010505         -8.4       0.0       0.0
BUF    2019010506         -8.8       0.0       0.0
BUF    2019010507         -6.4       0.0       0.0
BUF    2019010508         -6.6       0.0       0.0
BUF    2019010509         -4.8       0.0       0.0
BUF    2019010510         -3.6       0.0       0.0
BUF    2019010511         -3.1       0.0       0.0
BUF    2019010512         -3.3       0.0       0.0
BUF    2019010513         -3.8       0.0       0.0
BUF    2019010514         -4.3       0.1       0.1
BUF    2019010515         -4.7       0.1       0.2
BUF    2019010516         -5.3       0.3       0.5
