Deployment;x;y;acquisition_time;Name;sex;tag;latitude;longitude;date_min;date_max;n_loc;year;month;day;hour;minute;second
9916961_20213;2804695.95889205;1182496.64942914;2020-01-01T00:00:42Z;46;f;16961;46.7621862930092;10.1186423327085;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;0;0;42
9916961_20213;2804697.48175408;1182494.29311216;2020-01-01T01:00:13Z;46;f;16961;46.7621646413447;10.1186612018845;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;1;0;13
9916961_20213;2804701.10947674;1182490.01791138;2020-01-01T02:00:42Z;46;f;16961;46.7621250917802;10.1187067497463;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;2;0;42
9916961_20213;2804839.05946141;1182546.1793944;2020-01-01T03:00:16Z;46;f;16961;46.7625875909334;10.1205365997684;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;3;0;16
9916961_20213;2804872.11746768;1182538.03054833;2020-01-01T04:00:36Z;46;f;16961;46.7625041656941;10.1209654355606;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;4;0;36
9916961_20213;2804895.53183234;1182491.0882103;2020-01-01T05:00:42Z;46;f;16961;46.7620749445325;10.1212507443263;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;5;0;42
9916961_20213;2804878.28039783;1182512.14030423;2020-01-01T06:00:12Z;46;f;16961;46.7622695123957;10.1210344754137;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;6;0;12
9916961_20213;2804997.46671942;1182498.96586031;2020-01-01T07:00:42Z;46;f;16961;46.7621144064495;10.1225878251842;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;7;0;42
9916961_20213;2805060.82563094;1182464.58608039;2020-01-01T08:00:14Z;46;f;16961;46.7617858265432;10.1234013127396;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;8;0;14
9916961_20213;2805051.28721736;1182461.70651897;2020-01-01T09:00:41Z;46;f;16961;46.7617628747681;10.1232752383083;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;9;0;41
9916961_20213;2805043.74259903;1182461.26634848;2020-01-01T10:00:13Z;46;f;16961;46.7617612397382;10.1231763400175;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;10;0;13
9916961_20213;2805143.1988199;1182459.2913363;2020-01-01T11:00:41Z;46;f;16961;46.7617128652938;10.1244765727802;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;11;0;41
9916961_20213;2805173.8126967;1182441.36643653;2020-01-01T12:01:12Z;46;f;16961;46.7615422896468;10.1248690394215;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;12;1;12
9916961_20213;2805262.07848933;1182224.95420332;2020-01-01T13:00:42Z;46;f;16961;46.7595695183464;10.1259267282132;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;13;0;42
9916961_20213;2805264.847072;1182214.97470264;2020-01-01T14:01:02Z;46;f;16961;46.7594789479831;10.1259584720672;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;14;1;2
9916961_20213;2805215.37000776;1182220.97929823;2020-01-01T15:00:18Z;46;f;16961;46.7595481726468;10.1253139164861;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;15;0;18
9916961_20213;2805139.36152737;1182189.39487662;2020-01-01T16:00:42Z;46;f;16961;46.7592876320271;10.1243054386453;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;16;0;42
9916961_20213;2805085.69905216;1182169.73187863;2020-01-01T17:00:42Z;46;f;16961;46.7591273796649;10.1235946333516;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;17;0;42
9916961_20213;2805096.10358084;1182154.49267518;2020-01-01T18:00:12Z;46;f;16961;46.7589871736202;10.1237239156032;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;18;0;12
9916961_20213;2805086.19985702;1182163.32511782;2020-01-01T19:00:42Z;46;f;16961;46.7590696276049;10.1235983149138;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;19;0;42
9916961_20213;2805089.02311641;1182167.14919974;2020-01-01T20:00:11Z;46;f;16961;46.7591031376606;10.1236369608167;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;20;0;11
9916961_20213;2805085.66331218;1182168.72480538;2020-01-01T21:00:40Z;46;f;16961;46.7591183369032;10.1235937147106;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;21;0;40
9916961_20213;2805098.54880642;1182151.8875582;2020-01-01T22:00:42Z;46;f;16961;46.7589630003993;10.1237547361962;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;22;0;42
9916961_20213;2805040.20781457;1182147.72580119;2020-01-01T23:00:25Z;46;f;16961;46.7589435433968;10.122989676226;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;1;23;0;25
9916961_20213;2805006.85736124;1182133.56128808;2020-01-02T00:00:42Z;46;f;16961;46.758826465194;10.1225470552075;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;2;0;0;42
9916961_20213;2805012.46899826;1182162.74848694;2020-01-02T01:00:37Z;46;f;16961;46.7590871364972;10.1226335336607;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;2;1;0;37
9916961_20213;2805007.57529416;1182169.0562784;2020-01-02T02:00:42Z;46;f;16961;46.7591453505624;10.1225723401917;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;2;2;0;42
9916961_20213;2804991.84112229;1182150.96212783;2020-01-02T03:00:16Z;46;f;16961;46.7589875224143;10.12235840932;2019-06-03T00:00:42Z;2021-03-24T23:00:42Z;44858;2020;1;2;3;0;16
