X,time,X_acceleration,Y_acceleration,temperature_intern,temperature_extern,evation,rain_24
1,2020-01-01T00:00:00Z,0,0,8,-11.8,1542,0
2,2020-01-01T00:05:00Z,0,0,8,-11.8,1542,0
3,2020-01-01T00:10:00Z,0,0,8,-11.8,1542,0
4,2020-01-01T00:15:00Z,0,0,8,-11.8,1542,0
5,2020-01-01T00:20:00Z,0,0,8,-11.8,1542,0
6,2020-01-01T00:25:00Z,0,0,8,-11.8,1542,0
7,2020-01-01T00:30:00Z,0,0,8,-11.8,1542,0
8,2020-01-01T00:35:00Z,0,0,8,-11.8,1542,0
9,2020-01-01T00:40:00Z,0,0,8,-11.8,1542,0
10,2020-01-01T00:45:00Z,0,0,8,-11.8,1542,0
11,2020-01-01T00:50:00Z,0,0,8,-11.8,1542,0
12,2020-01-01T00:55:00Z,0,0,8,-11.8,1542,0
13,2020-01-01T01:00:00Z,0,0,8,-12.3,1542,0
14,2020-01-01T01:05:00Z,0,0,8,-12.3,1542,0
15,2020-01-01T01:10:00Z,0,0,8,-12.3,1542,0
16,2020-01-01T01:15:00Z,0,0,8,-12.3,1542,0
17,2020-01-01T01:20:00Z,0,0,8,-12.3,1542,0
18,2020-01-01T01:25:00Z,0,0,8,-12.3,1542,0
19,2020-01-01T01:35:00Z,0,0,8,-12.3,1542,0
20,2020-01-01T01:40:00Z,0,0,7,-12.3,1542,0
21,2020-01-01T01:45:00Z,0,0,7,-12.3,1542,0
22,2020-01-01T01:50:00Z,0,0,7,-12.3,1542,0
23,2020-01-01T01:55:00Z,0,0,6,-12.3,1542,0
24,2020-01-01T02:00:00Z,0,0,7,-13.1,1542,0
25,2020-01-01T02:05:00Z,0,0,7,-13.1,1542,0
26,2020-01-01T02:10:00Z,0,0,7,-13.1,1542,0
27,2020-01-01T02:15:00Z,0,0,7,-13.1,1542,0
28,2020-01-01T02:20:00Z,0,0,7,-13.1,1542,0
29,2020-01-01T02:25:00Z,0,0,7,-13.1,1542,0
30,2020-01-01T02:30:00Z,0,0,7,-13.1,1542,0
31,2020-01-01T02:35:00Z,0,0,7,-13.1,1542,0
32,2020-01-01T02:40:00Z,11,8,7,-13.1,1542,0
33,2020-01-01T02:45:00Z,58,59,7,-13.1,1542,0
34,2020-01-01T02:50:00Z,66,72,6,-13.1,1542,0
35,2020-01-01T02:55:00Z,28,32,6,-13.1,1542,0
36,2020-01-01T03:00:00Z,65,83,6,-13.4,1559,0
37,2020-01-01T03:05:00Z,48,21,6,-13.4,1559,0
38,2020-01-01T03:10:00Z,53,32,6,-13.4,1559,0
39,2020-01-01T03:15:00Z,44,26,6,-13.4,1559,0
40,2020-01-01T03:20:00Z,43,24,6,-13.4,1559,0
41,2020-01-01T03:25:00Z,52,51,6,-13.4,1559,0
42,2020-01-01T03:30:00Z,61,34,6,-13.4,1559,0
43,2020-01-01T03:35:00Z,59,17,5,-13.4,1559,0
44,2020-01-01T03:40:00Z,59,23,5,-13.4,1559,0
45,2020-01-01T03:45:00Z,58,31,5,-13.4,1559,0
46,2020-01-01T03:50:00Z,46,26,5,-13.4,1559,0
47,2020-01-01T03:55:00Z,47,21,6,-13.4,1559,0
48,2020-01-01T04:00:00Z,49,22,6,-13.6,1559,0
49,2020-01-01T04:05:00Z,40,25,6,-13.6,1559,0
50,2020-01-01T04:10:00Z,33,25,6,-13.6,1559,0
51,2020-01-01T04:15:00Z,26,22,6,-13.6,1559,0
52,2020-01-01T04:20:00Z,39,42,6,-13.6,1559,0
53,2020-01-01T04:25:00Z,22,22,6,-13.6,1559,0
54,2020-01-01T04:30:00Z,0,0,6,-13.6,1559,0
55,2020-01-01T04:35:00Z,0,0,6,-13.6,1559,0
56,2020-01-01T04:40:00Z,7,6,6,-13.6,1559,0
57,2020-01-01T04:45:00Z,0,0,6,-13.6,1559,0
58,2020-01-01T04:50:00Z,0,0,6,-13.6,1559,0
59,2020-01-01T04:55:00Z,0,0,6,-13.6,1559,0
60,2020-01-01T05:00:00Z,0,0,7,-14.2,1589,0
61,2020-01-01T05:05:00Z,0,0,7,-14.2,1589,0
62,2020-01-01T05:10:00Z,0,0,6,-14.2,1589,0
63,2020-01-01T05:15:00Z,0,0,6,-14.2,1589,0
64,2020-01-01T05:20:00Z,0,0,6,-14.2,1589,0
65,2020-01-01T05:25:00Z,0,0,6,-14.2,1589,0
