id_activity;id_collar;acquisition_time;scts;origin_code;activity_mode_code;activity_mode_dt;activity_1;activity_2;temperature;activity_3
42517710;16961;2020-01-01T00:00:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517713;16961;2020-01-01T00:05:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517716;16961;2020-01-01T00:10:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517719;16961;2020-01-01T00:15:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517727;16961;2020-01-01T00:20:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517730;16961;2020-01-01T00:25:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517734;16961;2020-01-01T00:30:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517736;16961;2020-01-01T00:35:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517738;16961;2020-01-01T00:40:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517745;16961;2020-01-01T00:45:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517750;16961;2020-01-01T00:50:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517753;16961;2020-01-01T00:55:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517756;16961;2020-01-01T01:00:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517762;16961;2020-01-01T01:05:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517764;16961;2020-01-01T01:10:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517770;16961;2020-01-01T01:15:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517772;16961;2020-01-01T01:20:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517774;16961;2020-01-01T01:25:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517776;16961;2020-01-01T01:35:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;8;
42517781;16961;2020-01-01T01:40:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;7;
42517787;16961;2020-01-01T01:45:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;7;
42517790;16961;2020-01-01T01:50:00Z;2021-04-01T07:13:12Z;C;1;300;0;0;7;
